Spark Master Tape;Hip-Hop
Cattle Decapitation;grindcore
Goatwhore;black metal
Whitechapel;deathcore
Allegaeon;Melodic Death Metal
Necromancing The Stone;heavy metal
David Duchovny;rock
Cuddle Magic;seen live
The Cab;pop punk
Noah Lehrman;
Bell X1;irish
Withered;death metal
Immortal Bird;death metal
The Way Out;indie
No Joy;shoegaze
GZA ;
Dead Man Winter;Alt-country
John Colvert;folk
Beth Hart;female vocalists
Ms. Lauryn Hill;soul
Tribal Seeds;reggae
Nattali Rize & Notis;reggae
Raging Fyah;reggae
SonReal;Hip-Hop
Gin Blossoms;alternative
Joe Moss Band;blues
Kap G;Hip-Hop
J.R. Donato;
Mickey Avalon;Hip-Hop
The Dig;seen live
Communist Daughter;indie
We The Kings;pop punk
Hail The Sun;post-hardcore
Dayseeker;post-hardcore
Silent Planet;metalcore
Ghost Key;melodic hardcore
Rose Cousins;folk
Cute Is What We Aim For;pop punk
Fred Eaglesmith;Alt-country
Sons Of An Illustrious Father;indie
Skyfoot;
Cold Engines;
Gin Blossoms;alternative
Vallis Alps;indie
The Vanguard;under 2000 listeners
Colorway;
The Alchemystics;Hip-Hop
Matt York;acoustic
Victor Wooten;jazz
Charlie Keating Band;
Panic! at the Disco;rock
Saint Motel;indie
Misterwives;indie
Fancy Trash;seen live
DJ Carbo;seen live
Muna;indie
Tribal Seeds;reggae
Nattali Rize & Notis;reggae
Raging Fyah;reggae
CUZ;experimental
The Gaslamp Killer;experimental
Nick Hook;electronic
Run The Jewels;Hip-Hop
Spark Master Tape;Hip-Hop
Gangsta Boo;rap
Body & Soul;new wave
Sheepdip;
Rocknoceros;localsupport
G-Nome Project;
Definition of One;
Surprise Attack;
Albert Lee;country
Black Joe Lewis;blues
Deaf Scene;indie
Hayley Jane and the Primates;folk
Big Gigantic;electronic
Brasstracks;
Famous Dex;trap
Black Joe Lewis;blues
John Doe;metalcore
Funky Finger;
Melissa Greener;under 2000 listeners
Lemuria;pop punk
Cayetana;indie rock
Mikey Erg;seen live
That 1 Guy;seen live
Pepper;reggae
Less Than Jake;ska
CaZ;vocaloid
Prince Fox;
Stephen Kellogg ;
Davy Knowles;blues-rock
Horse Lords;Experimental Rock
Palm;hardcore
Hamilton Leithauser;seen live
Lucy Dacus;seen live
The Dirty Dozen Brass Band;jazz
The Get Right Band;
Clay Cook;atlanta
Gang of Thieves;rock
BIJOU;rock
JEFF The Brotherhood;indie
River Whyless;folk
Mail the Horse;soul
The Piano Guys;instrumental
K.Flay;Hip-Hop
Jared & The Mill;
Paul Barrere and Fred Tackett Acoustic Duo;60s
Tedeschi Trucks Band;blues rock
Manatree;math rock
Thousand Foot Krutch ;alternative rock
Newsong;christian
Britt Nicole;pop
Tenth Avenue North;christian rock
Crowder;christian
Andy Mineo;Hip-Hop
Colton Dixon;American Idol
Strongwater;metal
George Clinton & Parliament Funkadelic;seen live
Until We Are Ghosts;melodic hardcore
Great American Ghost;hardcore
Lisa Hannigan;folk
Heather Woods Broderick;folk
whereisalex;trap
The-Dream;rnb
Eisley;indie
Backwards Dancer;
Pissed Jeans;noise rock
The Dirty Dozen Brass Band;jazz
The Get Right Band;
Spyro Gyra;jazz
The 19th Street Band;seen live
Vallis Alps;indie
Matt Maeson;
Prince Fox;
G-Nome Project;
Atlas Road Crew;
LITZ;hardcore melodico
Sun-Dried Vibes;Reggae Rock
Neili Neil;
TWRK;trap
Elephante;Rock en Espanol
Steve Brooks;
Miranda Lambert;country
Old Dominion;country
Aubrie Sellers;country
The Bayside Tigers;
Tennyson;electronic
The Joy Formidable;indie rock
Country Lips;seattle
Jessie Davis;jazz
Baseck;breakcore
clipping.;Hip-Hop
NightShade;Melodic Death Metal
Far Out West;
Barclay Crenshaw;Hip-Hop
Los Lobos;latin
Alter Bridge;rock
Nonpoint;Nu Metal
Nile;death metal
Overkill;thrash metal
Rubblebucket;indie
Chad Valley;chillwave
Computer Magic;synthpop
Jon Wayne and the Pain;reggae
Georgetown Orbits;Seattle Band
Gladiators ;
KingHopeton;reggae
Irie Lights;
Droop Lion;reggae
Los Lobos;latin
Born Of Osiris;deathcore
Within The Ruins;metalcore
Volumes;DJENT
